Title: sol13
Assay date: 11/01/2022 10:40:14
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,227554
401	0,225085
402	0,224612
403	0,224002
404	0,222708
405	0,221618
406	0,220742
407	0,219932
408	0,219686
409	0,219995
410	0,220561
411	0,221265
412	0,222189
413	0,223078
414	0,223942
415	0,224869
416	0,225845
417	0,226802
418	0,227687
419	0,22851
420	0,229425
421	0,230453
422	0,231713
423	0,2333
424	0,235087
425	0,236805
426	0,238461
427	0,239973
428	0,241285
429	0,24244
430	0,243571
431	0,244621
432	0,245568
433	0,246375
434	0,24707
435	0,247576
436	0,248004
437	0,248277
438	0,248427
439	0,248475
440	0,248546
441	0,248505
442	0,248632
443	0,248818
444	0,248811
445	0,248388
446	0,247774
447	0,2465
448	0,244767
449	0,243115
450	0,241825
451	0,240437
452	0,23949
453	0,238822
454	0,237739
455	0,236719
456	0,235843
457	0,234693
458	0,233341
459	0,232421
460	0,230764
461	0,228932
462	0,226905
463	0,224701
464	0,222194
465	0,219999
466	0,21766
467	0,215364
468	0,213127
469	0,210797
470	0,208412
471	0,206137
472	0,204097
473	0,202072
474	0,200127
475	0,198273
476	0,196517
477	0,194663
478	0,193145
479	0,191927
480	0,19082
481	0,189772
482	0,188926
483	0,187992
484	0,186987
485	0,186098
486	0,185301
487	0,184492
488	0,18378
489	0,183152
490	0,182473
491	0,18186
492	0,181452
493	0,181171
494	0,181111
495	0,181387
496	0,181883
497	0,182476
498	0,183245
499	0,184112
500	0,185078
501	0,186175
502	0,187431
503	0,188821
504	0,190422
505	0,192152
506	0,194095
507	0,19628
508	0,198652
509	0,20111
510	0,203796
511	0,206675
512	0,20973
513	0,213039
514	0,216687
515	0,220548
516	0,224494
517	0,228761
518	0,233258
519	0,237843
520	0,242644
521	0,247885
522	0,253053
523	0,258289
524	0,263896
525	0,269703
526	0,275503
527	0,281722
528	0,288312
529	0,294825
530	0,301574
531	0,308887
532	0,316416
533	0,324247
534	0,332971
535	0,341946
536	0,350519
537	0,359154
538	0,3676
539	0,375077
540	0,382462
541	0,390514
542	0,398677
543	0,406755
544	0,415862
545	0,425059
546	0,433735
547	0,442633
548	0,452277
549	0,461483
550	0,471333
551	0,482076
552	0,492448
553	0,501993
554	0,511758
555	0,520321
556	0,528275
557	0,537045
558	0,547236
559	0,557764
560	0,569914
561	0,582756
562	0,595659
563	0,608219
564	0,621407
565	0,634695
566	0,648286
567	0,662592
568	0,678123
569	0,694167
570	0,711169
571	0,729595
572	0,748814
573	0,768163
574	0,788354
575	0,809017
576	0,829528
577	0,850649
578	0,872977
579	0,895675
580	0,918688
581	0,942466
582	0,96577
583	0,987529
584	1,00811
585	1,02705
586	1,0436
587	1,05813
588	1,07083
589	1,08102
590	1,0884
591	1,09285
592	1,09388
593	1,09128
594	1,08463
595	1,07389
596	1,05939
597	1,04102
598	1,01824
599	0,992029
600	0,963239
601	0,930626
602	0,895317
603	0,858986
604	0,820863
605	0,780122
606	0,739687
607	0,698748
608	0,656182
609	0,613916
610	0,573657
611	0,533227
612	0,494177
613	0,458218
614	0,424108
615	0,390759
616	0,360389
617	0,331895
618	0,304132
619	0,27819
620	0,254765
621	0,232396
622	0,211601
623	0,193067
624	0,175899
625	0,159585
626	0,144678
627	0,131014
628	0,118048
629	0,10619
630	0,0957376
631	0,0862754
632	0,0777612
633	0,0703004
634	0,0635668
635	0,0573
636	0,0516203
637	0,0464508
638	0,0416697
639	0,037362
640	0,0335498
641	0,0300928
642	0,0269567
643	0,024173
644	0,021643
645	0,0193096
646	0,0172222
647	0,015378
648	0,0136978
649	0,0121885
650	0,0108633
651	0,00968341
652	0,00860083
653	0,00765729
654	0,00681315
655	0,0060361
656	0,00533322
657	0,0047145
658	0,00413724
659	0,00361114
660	0,00314417
661	0,00271655
662	0,00231865
663	0,00196108
664	0,00164155
665	0,00134807
666	0,00108554
667	0,000851668
668	0,000636348
669	0,000440813
670	0,000265495
671	9,90012e-05
672	-6,12255e-05
673	-0,000202575
674	-0,000332625
675	-0,000459766
676	-0,000578423
677	-0,000683785
678	-0,000782032
679	-0,000874222
680	-0,000950764
681	-0,00101625
682	-0,00107958
683	-0,00114033
684	-0,00119792
685	-0,0012574
686	-0,00131603
687	-0,0013659
688	-0,00141494
689	-0,00146189
690	-0,00150578
691	-0,00154836
692	-0,00159446
693	-0,00163442
694	-0,00167183
695	-0,00170847
696	-0,00174189
697	-0,00177032
698	-0,00179711
699	-0,00181979
700	-0,00183765
701	-0,00185523
702	-0,001871
703	-0,001883
704	-0,00189546
705	-0,00190816
706	-0,00191488
707	-0,00191966
708	-0,00192324
709	-0,00191893
710	-0,00191423
711	-0,00191674
712	-0,00192124
713	-0,00192687
714	-0,00193646
715	-0,00195247
716	-0,00197052
717	-0,00199824
718	-0,00202756
719	-0,00205979
720	-0,00208588
721	-0,00208042
722	-0,0020397
723	-0,00198408
724	-0,00191337
725	-0,00173592
726	-0,00152153
727	-0,00129948
728	-0,00106581
729	-0,000999557
730	-0,00127165
731	-0,00165237
732	-0,00203296
733	-0,00248362
734	-0,00261384
735	-0,0023374
736	-0,00199124
737	-0,00174075
738	-0,00143518
739	-0,00134088
740	-0,0014459
741	-0,0016756
742	-0,00188483
743	-0,00212881
744	-0,0023412
745	-0,00248755
746	-0,00235487
747	-0,00224381
748	-0,00186046
749	-0,000926637
750	0,000987811
