Title: sol12
Assay date: 11/01/2022 10:37:46
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
635	0,0827397
636	0,0746339
637	0,0672499
638	0,0603812
639	0,0541682
640	0,0486906
641	0,0437291
642	0,0392269
643	0,0352444
644	0,0316341
645	0,0282859
646	0,0252922
647	0,0226532
648	0,0202454
649	0,0180836
650	0,0161933
651	0,0144965
652	0,012923
653	0,011544
654	0,0102988
655	0,00914258
656	0,0080961
657	0,00718159
658	0,00633381
659	0,00556862
660	0,00489096
661	0,00427131
662	0,00368978
663	0,00316486
664	0,00268697
665	0,00225022
666	0,00185796
667	0,00151251
668	0,00119344
669	0,000906999
670	0,00064575
671	0,00040528
672	0,000172317
673	-3,5156e-05
674	-0,000219228
675	-0,000389296
676	-0,000545218
677	-0,000676902
678	-0,000798789
679	-0,000919642
680	-0,00102777
681	-0,00112725
682	-0,00122771
683	-0,00131462
684	-0,00138808
685	-0,00145455
686	-0,00151362
687	-0,00155813
688	-0,00159705
689	-0,00163048
690	-0,00165821
691	-0,00168222
692	-0,00170814
693	-0,00173861
694	-0,00177384
695	-0,00181396
696	-0,00185631
697	-0,00189643
698	-0,00193297
699	-0,00196513
700	-0,00199255
701	-0,00201691
702	-0,00203971
703	-0,00205723
704	-0,0020743
705	-0,0020911
706	-0,00210216
707	-0,00210896
708	-0,00211406
709	-0,00211139
710	-0,00210814
711	-0,00211532
712	-0,00212432
713	-0,00213549
714	-0,00214811
715	-0,0021567
716	-0,00215604
717	-0,00216235
718	-0,00216119
719	-0,00215926
720	-0,0021663
721	-0,00215323
722	-0,00211275
723	-0,00207589
724	-0,00203662
725	-0,00188951
726	-0,00170703
727	-0,00151676
728	-0,00130301
729	-0,00124712
730	-0,00152132
731	-0,00189693
732	-0,00226855
733	-0,0027115
734	-0,00283724
735	-0,00256317
736	-0,0022232
737	-0,00197787
738	-0,00167665
739	-0,00158281
740	-0,00168487
741	-0,00190496
742	-0,00210519
743	-0,0023405
744	-0,00254936
745	-0,00268867
746	-0,00255851
747	-0,00245076
748	-0,00208207
749	-0,00113098
750	0,000773114
