Title: sol12
Assay date: 11/01/2022 10:37:46
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,149876
401	0,143816
402	0,139519
403	0,134852
404	0,129606
405	0,124738
406	0,120134
407	0,11558
408	0,111815
409	0,108721
410	0,105874
411	0,103337
412	0,101225
413	0,0991276
414	0,097143
415	0,0954656
416	0,0939474
417	0,0925449
418	0,0912715
419	0,0900698
420	0,0890042
421	0,0881779
422	0,0876947
423	0,0876
424	0,0878402
425	0,0882042
426	0,0886398
427	0,0890635
428	0,0894587
429	0,0898194
430	0,0902476
431	0,0907077
432	0,0911908
433	0,0916434
434	0,0920942
435	0,0924904
436	0,092945
437	0,0933634
438	0,093781
439	0,0942448
440	0,0948642
441	0,0954771
442	0,0963797
443	0,097468
444	0,098457
445	0,0991159
446	0,0997279
447	0,0997805
448	0,0994607
449	0,0993573
450	0,0997639
451	0,100129
452	0,101057
453	0,102423
454	0,103454
455	0,104609
456	0,106091
457	0,107396
458	0,108511
459	0,110146
460	0,111173
461	0,112007
462	0,112728
463	0,113423
464	0,11387
465	0,114609
466	0,115297
467	0,116048
468	0,116803
469	0,11752
470	0,118308
471	0,119247
472	0,120431
473	0,121779
474	0,123212
475	0,124645
476	0,126183
477	0,127705
478	0,129431
479	0,131466
480	0,133724
481	0,136024
482	0,138448
483	0,140879
484	0,143252
485	0,145636
486	0,148132
487	0,150693
488	0,153325
489	0,156041
490	0,158819
491	0,161656
492	0,164617
493	0,167748
494	0,171122
495	0,174762
496	0,178648
497	0,182734
498	0,186952
499	0,191183
500	0,195577
501	0,200067
502	0,204593
503	0,209265
504	0,21429
505	0,219391
506	0,224762
507	0,230508
508	0,236443
509	0,242334
510	0,248479
511	0,254782
512	0,261158
513	0,267827
514	0,274972
515	0,282373
516	0,289877
517	0,297863
518	0,306077
519	0,314289
520	0,322748
521	0,331763
522	0,340616
523	0,349614
524	0,359157
525	0,368914
526	0,37861
527	0,388841
528	0,399474
529	0,409928
530	0,420681
531	0,432141
532	0,443833
533	0,455867
534	0,468969
535	0,482314
536	0,495133
537	0,50802
538	0,520691
539	0,532257
540	0,543789
541	0,556161
542	0,56869
543	0,581156
544	0,594837
545	0,608549
546	0,62156
547	0,634735
548	0,648674
549	0,661962
550	0,67589
551	0,690826
552	0,705396
553	0,719051
554	0,733083
555	0,745978
556	0,758257
557	0,771489
558	0,786437
559	0,801774
560	0,818909
561	0,836996
562	0,85525
563	0,87314
564	0,89197
565	0,911056
566	0,930483
567	0,950927
568	0,973149
569	0,996083
570	1,02042
571	1,04683
572	1,07433
573	1,10198
574	1,1308
575	1,16027
576	1,1895
577	1,21958
578	1,25136
579	1,2836
580	1,31622
581	1,34984
582	1,38271
583	1,41333
584	1,44228
585	1,46891
586	1,49215
587	1,51254
588	1,5303
589	1,54447
590	1,55462
591	1,56058
592	1,56167
593	1,55764
594	1,5479
595	1,53237
596	1,51153
597	1,4852
598	1,45264
599	1,41516
600	1,37402
601	1,32746
602	1,27708
603	1,22522
604	1,17081
605	1,1127
606	1,05498
607	0,996497
608	0,935714
609	0,875391
610	0,81793
611	0,760343
612	0,704842
613	0,653781
614	0,605364
615	0,558065
616	0,514887
617	0,474282
618	0,43469
619	0,397671
620	0,364191
621	0,332273
622	0,302639
623	0,276218
624	0,251754
625	0,228537
626	0,207311
627	0,187848
628	0,169374
629	0,152467
630	0,137557
631	0,124047
632	0,111888
633	0,101262
634	0,0916803
