Title: sol10
Assay date: 11/01/2022 10:32:36
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,124133
401	0,11675
402	0,111234
403	0,105258
404	0,0987208
405	0,0926026
406	0,0867826
407	0,0810026
408	0,0760812
409	0,07187
410	0,0679148
411	0,0643169
412	0,0612153
413	0,05815
414	0,0552511
415	0,0527368
416	0,0504183
417	0,0482485
418	0,0462671
419	0,0443938
420	0,042678
421	0,0412463
422	0,0401986
423	0,0395721
424	0,0393172
425	0,0392457
426	0,0392719
427	0,0393376
428	0,0394185
429	0,0395155
430	0,0397008
431	0,039977
432	0,0403073
433	0,0406402
434	0,0410067
435	0,041373
436	0,0418343
437	0,0423043
438	0,0428192
439	0,0434242
440	0,0442244
441	0,0450548
442	0,0462127
443	0,0476088
444	0,0489455
445	0,0499708
446	0,0509876
447	0,0514851
448	0,0516142
449	0,051981
450	0,0529205
451	0,053841
452	0,0553541
453	0,0573691
454	0,0590951
455	0,0609642
456	0,0632468
457	0,0653969
458	0,0673839
459	0,0699386
460	0,0719411
461	0,0737195
462	0,075404
463	0,0770936
464	0,0785363
465	0,0802502
466	0,0819426
467	0,083698
468	0,0854341
469	0,0871419
470	0,0889549
471	0,0909423
472	0,0931798
473	0,0956307
474	0,0981636
475	0,100674
476	0,103272
477	0,105877
478	0,108646
479	0,111733
480	0,115071
481	0,11846
482	0,121952
483	0,125485
484	0,128973
485	0,132442
486	0,136024
487	0,139703
488	0,143435
489	0,147244
490	0,151149
491	0,155113
492	0,159161
493	0,163399
494	0,167898
495	0,172645
496	0,177653
497	0,18291
498	0,188284
499	0,193649
500	0,19921
501	0,204863
502	0,210518
503	0,21633
504	0,22254
505	0,228797
506	0,235342
507	0,2423
508	0,249446
509	0,256503
510	0,263824
511	0,271275
512	0,278751
513	0,286511
514	0,29478
515	0,303307
516	0,311946
517	0,321125
518	0,330548
519	0,339952
520	0,349617
521	0,359882
522	0,369952
523	0,380165
524	0,390948
525	0,401937
526	0,412815
527	0,424253
528	0,436112
529	0,447773
530	0,459751
531	0,472502
532	0,485499
533	0,498853
534	0,513355
535	0,528125
536	0,542331
537	0,556613
538	0,570691
539	0,583618
540	0,596521
541	0,610333
542	0,624325
543	0,638252
544	0,653434
545	0,668624
546	0,683056
547	0,697634
548	0,712981
549	0,727625
550	0,742895
551	0,759232
552	0,775175
553	0,79017
554	0,805585
555	0,819847
556	0,833444
557	0,848069
558	0,864516
559	0,881374
560	0,900179
561	0,920045
562	0,940097
563	0,959762
564	0,980474
565	1,00145
566	1,02278
567	1,04524
568	1,06965
569	1,09482
570	1,1215
571	1,15043
572	1,18054
573	1,21077
574	1,2423
575	1,2745
576	1,30642
577	1,33925
578	1,3739
579	1,40901
580	1,44453
581	1,4811
582	1,51679
583	1,55003
584	1,58138
585	1,61015
586	1,6352
587	1,65716
588	1,67618
589	1,69133
590	1,70214
591	1,70836
592	1,70925
593	1,70465
594	1,69381
595	1,67665
596	1,65376
597	1,62497
598	1,58937
599	1,54843
600	1,5035
601	1,45265
602	1,39758
603	1,3409
604	1,28142
605	1,21788
606	1,15477
607	1,09081
608	1,02436
609	0,958412
610	0,895593
611	0,832635
612	0,771963
613	0,71614
614	0,663202
615	0,611491
616	0,564284
617	0,519885
618	0,476596
619	0,436128
620	0,399527
621	0,364631
622	0,332232
623	0,303345
624	0,276586
625	0,251186
626	0,227966
627	0,206673
628	0,18645
629	0,167942
630	0,151609
631	0,136801
632	0,123469
633	0,111818
634	0,101312
635	0,0915173
636	0,0826426
637	0,0745584
638	0,0670332
639	0,0602262
640	0,0542194
641	0,0487753
642	0,0438388
643	0,0394737
644	0,0355091
645	0,0318255
646	0,0285152
647	0,0255812
648	0,0228916
649	0,02047
650	0,0183451
651	0,0164451
652	0,0146884
653	0,0131531
654	0,0117734
655	0,0105026
656	0,00935425
657	0,00834503
658	0,00740629
659	0,00655516
660	0,00579542
