Title: sol10
Assay date: 11/01/2022 10:32:36
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
661	0,00509817
662	0,00445363
663	0,0038784
664	0,00335875
665	0,00288166
666	0,00245768
667	0,00208033
668	0,00173007
669	0,00141382
670	0,00113492
671	0,00087267
672	0,000617306
673	0,000390356
674	0,000187741
675	-4,49381e-06
676	-0,000178362
677	-0,000321431
678	-0,000451244
679	-0,000574635
680	-0,000681686
681	-0,000777012
682	-0,000871028
683	-0,000959504
684	-0,00104169
685	-0,00112294
686	-0,00120126
687	-0,00127075
688	-0,00133049
689	-0,0013805
690	-0,00142053
691	-0,00145369
692	-0,00148646
693	-0,00152142
694	-0,00156024
695	-0,00160343
696	-0,00164757
697	-0,00168773
698	-0,00172406
699	-0,00175558
700	-0,00178197
701	-0,00180651
702	-0,00182986
703	-0,00184971
704	-0,00186928
705	-0,00188906
706	-0,00190539
707	-0,00192128
708	-0,00193638
709	-0,0019466
710	-0,00195945
711	-0,00197966
712	-0,00199982
713	-0,00202015
714	-0,00203999
715	-0,0020532
716	-0,00205874
717	-0,00206933
718	-0,00207848
719	-0,00208885
720	-0,0021059
721	-0,00209948
722	-0,00206276
723	-0,00201574
724	-0,00196084
725	-0,0018047
726	-0,00162395
727	-0,00145417
728	-0,00128249
729	-0,00128458
730	-0,00161959
731	-0,00205202
732	-0,00246428
733	-0,002935
734	-0,00307114
735	-0,00279643
736	-0,00244406
737	-0,00217643
738	-0,00183937
739	-0,00170182
740	-0,00174732
741	-0,00190708
742	-0,00204849
743	-0,00222455
744	-0,00237544
745	-0,00246931
746	-0,00229788
747	-0,00214352
748	-0,00173837
749	-0,000791794
750	0,00113985
